total_timesteps,explained_variance,fps,nupdates,policy_entropy,value_loss,ep_reward_mean,ep_len_mean
888000,0.9704806171357632,1130,11100,1.7797706127166748,0.010956904850900173,-20.15,946.33
896000,0.9336628466844559,1130,11200,1.7852017879486084,0.016338283196091652,-20.21,935.55
904000,0.9093107134103775,1131,11300,1.7872426509857178,0.018290283158421516,-20.16,935.39
912000,0.6074418723583221,1132,11400,1.784213662147522,0.10695779323577881,-20.17,926.25
920000,0.8408647179603577,1132,11500,1.7867923974990845,0.022852357476949692,-20.16,930.82
928000,0.7977544814348221,1133,11600,1.783177137374878,0.05964857339859009,-20.16,935.03
936000,0.9400534592568874,1133,11700,1.7791465520858765,0.013026459142565727,-20.18,930.7
944000,0.9294964671134949,1134,11800,1.7842668294906616,0.015896551311016083,-20.22,924.66
952000,0.9473432675004005,1135,11900,1.7861474752426147,0.01568332314491272,-20.18,930.46
960000,0.9615213796496391,1135,12000,1.7850430011749268,0.010553872212767601,-20.12,940.32
968000,0.7786753177642822,1136,12100,1.780933141708374,0.026729470118880272,-20.16,934.5
976000,0.7355751395225525,1136,12200,1.7807180881500244,0.017486080527305603,-20.17,928.03
984000,0.8308847695589066,1137,12300,1.7794662714004517,0.020344410091638565,-20.16,927.04
992000,0.8158573806285858,1137,12400,1.7825168371200562,0.031214047223329544,-20.18,927.27
1000000,0.9415358603000641,1138,12500,1.78484308719635,0.010132303461432457,-20.16,936.53
1008000,0.8690244555473328,1115,12600,1.785223364830017,0.00926928035914898,-20.14,940.39
1016000,0.9403279572725296,1116,12700,1.7862071990966797,0.014200667850673199,-20.15,929.71
1024000,0.9222169667482376,1117,12800,1.7870991230010986,0.020078185945749283,-20.15,930.16
1032000,0.6743971705436707,1117,12900,1.78777277469635,0.06276073306798935,-20.16,929.46
1040000,0.8632508814334869,1118,13000,1.7878481149673462,0.03762555494904518,-20.15,928.93
1048000,0.6390427649021149,1119,13100,1.776301622390747,0.02731878124177456,-20.11,935.78
1056000,0.879476822912693,1119,13200,1.7884012460708618,0.047602519392967224,-20.16,927.94
1064000,0.82870914041996,1120,13300,1.7898647785186768,0.050686515867710114,-20.13,933.62
1072000,0.9104391261935234,1120,13400,1.786486029624939,0.009275210089981556,-20.08,938.38
1080000,0.9010871797800064,1121,13500,1.7858798503875732,0.029445935040712357,-20.12,933.45
1088000,0.912620298564434,1121,13600,1.787438988685608,0.01326640136539936,-20.13,926.65
1096000,0.8964751437306404,1122,13700,1.7850446701049805,0.013653868809342384,-20.16,925.72
1104000,0.5915995240211487,1123,13800,1.7764440774917603,0.09080421924591064,-20.15,922.97
1112000,0.9421454221010208,1123,13900,1.7841295003890991,0.013295364566147327,-20.2,923.22
1120000,0.9523712694644928,1124,14000,1.7774986028671265,0.012622040696442127,-20.2,925.25
1128000,0.9502181187272072,1125,14100,1.7825803756713867,0.011197756975889206,-20.27,918.06
1136000,0.9236513748764992,1125,14200,1.7871448993682861,0.007135251071304083,-20.31,914.2
1144000,0.9593129716813564,1125,14300,1.7887356281280518,0.010503873229026794,-20.33,912.46
1152000,0.9624348133802414,1126,14400,1.7846691608428955,0.012292779982089996,-20.34,911.23
1160000,0.9396907165646553,1126,14500,1.7811437845230103,0.006671421229839325,-20.35,912.03
1168000,0.9717172551900148,1127,14600,1.7870479822158813,0.008974535390734673,-20.4,909.16
1176000,0.8014421164989471,1127,14700,1.7820041179656982,0.020167792215943336,-20.35,924.45
1184000,0.8743557184934616,1128,14800,1.7750723361968994,0.010239643044769764,-20.41,916.86
1192000,0.8747148811817169,1128,14900,1.7771885395050049,0.02692393958568573,-20.43,916.16
1200000,0.9451914206147194,1128,15000,1.7816627025604248,0.011907610110938549,-20.45,913.73
1208000,0.8790052831172943,1129,15100,1.7879111766815186,0.009482396766543388,-20.45,909.71
