total_timesteps,fps,policy_entropy,approxkl,clipfrac,value_loss,explained_variance,time_elapsed,serial_timesteps,policy_loss,n_updates,ep_len_mean,ep_reward_mean
4677632,936,1.3409517,1.8346138e-05,0.17919922,0.0009290551,0.9815727472305298,5001.332853555679,584704,-0.000808271,4568,1661.51,20.91
4678656,977,1.3329777,2.4159133e-05,0.22387695,0.012131233,0.7904427200555801,5002.428607225418,584832,-0.00046804192,4569,1661.51,20.91
4679680,1173,1.3977195,1.4069461e-05,0.18139648,0.0014017543,0.9660831019282341,5003.477630615234,584960,-0.0007342706,4570,1661.51,20.91
4680704,1127,1.426802,1.5993191e-05,0.19189453,0.00043616322,0.989155768416822,5004.351965665817,585088,-0.0009184877,4571,1661.51,20.91
4681728,1115,1.4023645,1.3124388e-05,0.17358398,0.000875949,0.9812338035553694,5005.262447357178,585216,-0.00071107264,4572,1661.51,20.91
4682752,1105,1.3393279,1.6861335e-05,0.21264648,0.00062300416,0.9876407729461789,5006.182373523712,585344,-0.000697733,4573,1660.48,20.93
4683776,1003,1.3671229,1.35216615e-05,0.16748047,0.0009699489,0.9813716262578964,5007.111403942108,585472,-0.0007461011,4574,1660.49,20.93
4684800,1112,1.3461928,1.6110898e-05,0.20166016,0.0005145564,0.989693371579051,5008.13384270668,585600,-0.0007317607,4575,1660.5,20.93
4685824,1157,1.3717973,1.7124748e-05,0.15820312,0.0006263724,0.9875419838353992,5009.057687520981,585728,-0.00074918475,4576,1660.5,20.93
4686848,1121,1.3479949,1.1598568e-05,0.15576172,0.00063421484,0.9876571036875248,5009.943714857101,585856,-0.00071471895,4577,1660.5,20.93
4687872,1145,1.3710604,1.3109518e-05,0.16015625,0.0005275178,0.9869525963440537,5010.859789609909,585984,-0.0007623255,4578,1660.5,20.93
4688896,1051,1.4172316,1.7499186e-05,0.21411133,0.00036293585,0.9919730704277754,5011.7555975914,586112,-0.00084713055,4579,1660.5,20.93
4689920,1051,1.3641976,1.1651681e-05,0.17602539,0.00036053525,0.991470742970705,5012.731486558914,586240,-0.00066638354,4580,1660.5,20.93
4690944,829,1.3742043,1.4875239e-05,0.171875,0.0008276125,0.9849344724789262,5013.707229852676,586368,-0.0007521802,4581,1661.0,20.92
4691968,1002,1.3380697,1.8887427e-05,0.21606445,0.0075007053,0.9010244756937027,5014.9437799453735,586496,-0.0005683977,4582,1661.0,20.92
4692992,1040,1.3654256,1.40909315e-05,0.15771484,0.0058590486,0.921179860830307,5015.96662402153,586624,-0.0003270088,4583,1661.0,20.92
4694016,1042,1.382201,1.4099049e-05,0.16015625,0.0026620233,0.9432029388844967,5016.953300952911,586752,-0.0007379829,4584,1661.0,20.92
4695040,1061,1.3938233,1.3554215e-05,0.1862793,0.00088893896,0.983040226623416,5017.937246322632,586880,-0.00058716803,4585,1661.0,20.92
4696064,990,1.3106596,1.3892154e-05,0.16674805,0.0006551108,0.9870098978281021,5018.9040513038635,587008,-0.00060931913,4586,1660.99,20.92
4697088,880,1.3722825,1.1941685e-05,0.16992188,0.0008214683,0.9840966835618019,5019.939822912216,587136,-0.0005152803,4587,1660.92,20.92
4698112,1069,1.3564842,1.1907019e-05,0.1550293,0.0012916324,0.9738192949444056,5021.106199979782,587264,-0.000491609,4588,1660.94,20.92
4699136,967,1.3635904,1.2451754e-05,0.18603516,0.0007213413,0.9858405198901892,5022.064956665039,587392,-0.0005847013,4589,1660.95,20.92
4700160,1131,1.3426886,1.1183125e-05,0.15795898,0.0007247035,0.984987729229033,5023.125803470612,587520,-0.00067359343,4590,1661.02,20.92
4701184,1043,1.386765,1.4385574e-05,0.17041016,0.00044184166,0.9897419828921556,5024.032641172409,587648,-0.0006397575,4591,1661.02,20.92
4702208,1133,1.3653864,1.3073814e-05,0.19360352,0.00046323452,0.9893159214407206,5025.015872001648,587776,-0.0006360357,4592,1661.02,20.92
4703232,1101,1.4137765,1.04680375e-05,0.1574707,0.00033417868,0.9919003890827298,5025.920640230179,587904,-0.0008272354,4593,1661.02,20.92
4704256,1069,1.3876997,1.1693265e-05,0.17993164,0.00052277267,0.9901027055457234,5026.851688146591,588032,-0.00088726426,4594,1661.04,20.92
4705280,1125,1.3690742,1.426425e-05,0.19433594,0.0006629398,0.9838248137384653,5027.811335802078,588160,-0.0007728583,4595,1661.04,20.92
4706304,1033,1.4066998,1.27540825e-05,0.19604492,0.00059042755,0.9885484129190445,5028.723228693008,588288,-0.00071005884,4596,1663.65,20.9
4707328,1107,1.3710171,1.0189544e-05,0.1418457,0.00049707433,0.98847496509552,5029.715900182724,588416,-0.0006099365,4597,1663.65,20.9
4708352,1060,1.3906463,1.2748145e-05,0.19189453,0.00079047115,0.9843584541231394,5030.642874717712,588544,-0.00075424416,4598,1663.65,20.9
4709376,913,1.3203887,1.1691745e-05,0.1459961,0.0006471982,0.9860072247684002,5031.610462188721,588672,-0.0006546184,4599,1663.59,20.9
4710400,994,1.3661072,1.4187346e-05,0.21362305,0.000826248,0.9840586818754673,5032.734391212463,588800,-0.0008319627,4600,1664.07,20.9
