serial_timesteps,policy_entropy,n_updates,time_elapsed,fps,clipfrac,value_loss,total_timesteps,approxkl,explained_variance,policy_loss,ep_reward_mean,ep_len_mean
599424,1.278036,4683,5737.4171097278595,1002,0.20703125,0.0007455698,4795392,7.556532e-06,0.9826503004878759,-0.0005357801,20.61,2736.51
599552,1.2612745,4684,5738.439852952957,974,0.21655273,0.0011363783,4796416,9.345325e-06,0.9728189893066883,-0.00057828345,20.61,2736.47
599680,1.2824417,4685,5739.493820667267,1130,0.21875,0.0011157684,4797440,8.875837e-06,0.9738664776086807,-0.00044927135,20.61,2736.47
599808,1.281814,4686,5740.401271343231,1148,0.19628906,0.0010127153,4798464,7.754986e-06,0.9764257930219173,-0.0005235401,20.61,2736.47
599936,1.2828809,4687,5741.294281005859,1107,0.17773438,0.00091593195,4799488,7.239514e-06,0.9784595277160406,-0.0005095684,20.62,2729.78
600064,1.2646319,4688,5742.220805883408,1109,0.17944336,0.001250052,4800512,6.619797e-06,0.967943724244833,-0.0004884114,20.63,2736.19
600192,1.2863797,4689,5743.144938707352,993,0.16113281,0.0044222977,4801536,8.277349e-06,0.9282338321208954,-0.00038849935,20.63,2736.19
600320,1.2666899,4690,5744.177750349045,921,0.20532227,0.002275871,4802560,7.3003216e-06,0.9515344128012657,-0.00044433115,20.63,2736.19
600448,1.3124504,4691,5745.290755748749,1012,0.2241211,0.00095738634,4803584,7.0121673e-06,0.9786107782274485,-0.00056522846,20.64,2733.48
600576,1.2333965,4692,5746.3048713207245,973,0.17285156,0.0013470849,4804608,6.507689e-06,0.9695570152252913,-0.00039942114,20.64,2733.49
600704,1.2499688,4693,5747.358327865601,901,0.17675781,0.005804749,4805632,6.6721923e-06,0.8790264502167702,-0.00037739138,20.64,2733.49
600832,1.2822201,4694,5748.496210336685,911,0.18334961,0.001224805,4806656,6.724414e-06,0.9725504331290722,-0.00043963842,20.64,2733.49
600960,1.2960991,4695,5749.621610879898,1086,0.19116211,0.0061322195,4807680,7.6158085e-06,0.8852210640907288,-0.0002992833,20.64,2733.49
601088,1.2855161,4696,5750.565141439438,987,0.17407227,0.0015505498,4808704,6.6090465e-06,0.96699995175004,-0.000509817,20.64,2733.49
601216,1.2754723,4697,5751.60374212265,953,0.23852539,0.00078812207,4809728,7.66207e-06,0.9814185947179794,-0.000565377,20.64,2733.49
601344,1.3022038,4698,5752.680116891861,939,0.1940918,0.00091962935,4810752,6.1823107e-06,0.9812003467231989,-0.00056372746,20.66,2734.42
601472,1.2444714,4699,5753.772175550461,991,0.19360352,0.0012547869,4811776,1.2709822e-05,0.9698620326817036,-0.00055735314,20.65,2740.85
601600,1.2911806,4700,5754.8060648441315,1002,0.19384766,0.001604169,4812800,5.982217e-06,0.9658189006149769,-0.00042297275,20.65,2740.85
601728,1.3055128,4701,5755.829276561737,1105,0.19091797,0.00088816753,4813824,5.752917e-06,0.9804233685135841,-0.00046847019,20.65,2740.85
601856,1.2966813,4702,5756.757164478302,1134,0.17163086,0.00084821624,4814848,4.9966666e-06,0.9815831463783979,-0.0004816438,20.65,2740.85
601984,1.3184288,4703,5757.661687612534,971,0.17456055,0.0006110194,4815872,4.490391e-06,0.9858861705288291,-0.0005045609,20.65,2740.85
602112,1.293792,4704,5758.716806650162,870,0.15942383,0.001430894,4816896,4.543781e-06,0.9718014597892761,-0.00045773512,20.65,2740.85
602240,1.2771243,4705,5759.894901514053,943,0.22949219,0.0018798027,4817920,7.180236e-06,0.9616080820560455,-0.00042025596,20.65,2740.85
602368,1.2833533,4706,5760.984368562698,896,0.18237305,0.0011788645,4818944,6.2983004e-06,0.9718287102878094,-0.0005308603,20.65,2745.94
602496,1.247529,4707,5762.1288866996765,896,0.18774414,0.0018320045,4819968,5.5895803e-06,0.9539325088262558,-0.00053318054,20.64,2743.39
602624,1.2812264,4708,5763.273936510086,992,0.17456055,0.0021112643,4820992,7.645423e-06,0.9504017792642117,-0.00038202852,20.64,2743.39
602752,1.3063654,4709,5764.307952642441,931,0.19677734,0.00069238734,4822016,5.610394e-06,0.9841820392757654,-0.00037787895,20.64,2743.39
602880,1.3044472,4710,5765.408098459244,874,0.17578125,0.0011170176,4823040,4.646684e-06,0.9768580980598927,-0.0002872329,20.64,2743.39
603008,1.2507044,4711,5766.581215620041,1025,0.18774414,0.0006912385,4824064,5.1102147e-06,0.9846520256251097,-0.0005006566,20.64,2743.39
603136,1.2952763,4712,5767.580816268921,1174,0.17211914,0.0010058886,4825088,4.0545438e-06,0.9763553701341152,-0.00041167293,20.64,2743.39
603264,1.2871697,4713,5768.455200433731,1077,0.18408203,0.0008888587,4826112,5.1374973e-06,0.9835013095289469,-0.0004129758,20.64,2743.39
603392,1.2590837,4714,5769.406613111496,821,0.21289062,0.0015533534,4827136,6.8943637e-06,0.9558910541236401,-0.00046922837,20.63,2748.02
603520,1.3083265,4715,5770.656178951263,952,0.15014648,0.0020067873,4828160,4.12745e-06,0.9618319608271122,-0.00042127207,20.63,2748.02
603648,1.2867662,4716,5771.733212471008,983,0.21582031,0.0011830936,4829184,5.4697184e-06,0.975436445325613,-0.00041795653,20.63,2748.02
603776,1.2560755,4717,5772.776357650757,982,0.18847656,0.005255434,4830208,6.060174e-06,0.8984978273510933,-0.00029962056,20.64,2741.31
603904,1.2867658,4718,5773.820454359055,1067,0.20800781,0.0015207338,4831232,5.366435e-06,0.9687277860939503,-0.0004361202,20.64,2734.29
604032,1.2886133,4719,5774.781097412109,952,0.16845703,0.0021337667,4832256,5.5168907e-06,0.9531671404838562,-0.00039406287,20.64,2734.29
604160,1.2878177,4720,5775.858269929886,898,0.16040039,0.00079917046,4833280,4.0349396e-06,0.982590401545167,-0.00041775362,20.64,2734.29
604288,1.3030419,4721,5777.000684738159,971,0.14501953,0.001320782,4834304,3.088453e-06,0.9725004583597183,-0.00035782994,20.64,2734.29
604416,1.3098788,4722,5778.05632019043,959,0.2084961,0.00062166486,4835328,4.8569786e-06,0.9857238940894604,-0.00033264197,20.64,2734.29
604544,1.3268982,4723,5779.125605106354,900,0.19726562,0.0011169565,4836352,3.79323e-06,0.9777258187532425,-0.00033512965,20.64,2734.29
604672,1.277355,4724,5780.264653682709,838,0.17236328,0.0066588735,4837376,4.7157446e-06,0.8994993567466736,-0.0003514007,20.66,2727.65
604800,1.2410306,4725,5781.488717556,951,0.19946289,0.0023118488,4838400,5.285232e-06,0.9468116648495197,-0.00042656148,20.67,2721.89
604928,1.300058,4726,5782.56699681282,901,0.18652344,0.001996565,4839424,4.380449e-06,0.9590338282287121,-0.00038856888,20.67,2721.89
605056,1.2717661,4727,5783.704603910446,913,0.21899414,0.00080167927,4840448,4.871145e-06,0.982629956677556,-0.00044631548,20.67,2721.89
605184,1.3223966,4728,5784.82759141922,929,0.16748047,0.001706123,4841472,3.7395203e-06,0.9597562104463577,-0.00041943544,20.67,2721.89
605312,1.2872713,4729,5785.930554866791,904,0.21704102,0.00090275565,4842496,4.263363e-06,0.9799124337732792,-0.00044046072,20.67,2721.82
605440,1.2887527,4730,5787.064918994904,945,0.23852539,0.0021002463,4843520,4.893488e-06,0.9513439051806927,-0.00031760483,20.67,2721.82
605568,1.3001151,4731,5788.150147199631,872,0.17138672,0.0012983872,4844544,3.5403564e-06,0.9728535506874323,-0.00038041943,20.67,2728.86
605696,1.313158,4732,5789.326908111572,881,0.20361328,0.0011833498,4845568,3.4544182e-06,0.9755690116435289,-0.00039013365,20.66,2723.54
605824,1.2427323,4733,5790.48975610733,949,0.15893555,0.015734943,4846592,4.937916e-06,0.7555117458105087,-0.0002726675,20.65,2715.93
605952,1.286795,4734,5791.570990562439,967,0.14648438,0.0022647954,4847616,3.3145561e-06,0.9518965892493725,-0.00035330438,20.65,2715.93
606080,1.2757319,4735,5792.631018161774,926,0.23754883,0.00073911255,4848640,4.5528113e-06,0.9837033674120903,-0.00040223333,20.65,2715.93
606208,1.2771264,4736,5793.737530469894,968,0.16992188,0.001359306,4849664,4.271163e-06,0.9623919501900673,-0.00029890242,20.65,2715.9
606336,1.2219678,4737,5794.796322584152,919,0.17700195,0.0064287847,4850688,3.882935e-06,0.8672819137573242,-0.0003179893,20.65,2715.31
606464,1.3412619,4738,5795.91149020195,909,0.19165039,0.0022946903,4851712,4.7594367e-06,0.9561155512928963,-0.00036745257,20.65,2715.31
606592,1.2595276,4739,5797.038405418396,978,0.1652832,0.00072121597,4852736,2.621499e-06,0.9845422636717558,-0.00034173214,20.65,2715.31
606720,1.3239523,4740,5798.086905479431,990,0.1953125,0.0012512733,4853760,3.1598408e-06,0.9749220013618469,-0.0003087388,20.65,2715.31
606848,1.287018,4741,5799.1242780685425,992,0.19213867,0.00088145986,4854784,3.9644747e-06,0.9796777442097664,-0.00037654513,20.65,2715.31
606976,1.3068533,4742,5800.1583750247955,936,0.2084961,0.00085728196,4855808,3.2543694e-06,0.9829613342881203,-0.00040460302,20.65,2715.31
607104,1.29529,4743,5801.253895282745,1162,0.1821289,0.000940486,4856832,3.408366e-06,0.9767846278846264,-0.00039581477,20.65,2715.31
607232,1.2782707,4744,5802.136426687241,901,0.18237305,0.0010377425,4857856,2.9315047e-06,0.9774633385241032,-0.00036806663,20.66,2708.25
607360,1.2780218,4745,5803.274861574173,1021,0.17138672,0.0012626098,4858880,2.6526732e-06,0.9673658609390259,-0.00036011508,20.66,2708.25
607488,1.3267256,4746,5804.279758214951,1014,0.21484375,0.0012624346,4859904,3.9129445e-06,0.9729060865938663,-0.00042701536,20.66,2708.25
607616,1.2689157,4747,5805.2910487651825,1092,0.16259766,0.0018936216,4860928,2.9001405e-06,0.9548569656908512,-0.0003829943,20.66,2708.27
607744,1.2559751,4748,5806.229966402054,1006,0.21606445,0.0015576903,4861952,3.8836642e-06,0.9597757942974567,-0.00032847846,20.66,2700.42
607872,1.3327729,4749,5807.249444246292,1045,0.20483398,0.002122764,4862976,3.8199883e-06,0.952409390360117,-0.00027409574,20.66,2700.41
608000,1.2782726,4750,5808.231316804886,976,0.19555664,0.0072690626,4864000,5.248628e-06,0.8469351977109909,-0.00021326749,20.66,2700.41
608128,1.2597889,4751,5809.281117916107,907,0.19506836,0.0010312023,4865024,3.1302757e-06,0.9760963600128889,-0.00037665578,20.66,2694.04
608256,1.2765036,4752,5810.410457611084,898,0.17089844,0.0028478869,4866048,2.6017333e-06,0.9306854605674744,-0.0002717846,20.66,2694.04
608384,1.2812196,4753,5811.552021741867,947,0.16894531,0.0008888752,4867072,2.835624e-06,0.9792015068233013,-0.0003022326,20.66,2694.04
608512,1.3029563,4754,5812.63449716568,1011,0.19238281,0.0017925954,4868096,2.85141e-06,0.9576420225203037,-0.00033488823,20.66,2694.04
608640,1.2884965,4755,5813.648141384125,1034,0.21850586,0.0009113407,4869120,3.4440693e-06,0.9772100429981947,-0.00037782433,20.66,2693.46
608768,1.2654053,4756,5814.639616966248,1069,0.2019043,0.0019720823,4870144,2.904258e-06,0.9553813636302948,-0.00033644453,20.66,2693.46
608896,1.2621684,4757,5815.599586248398,1028,0.24902344,0.0012051621,4871168,3.6856763e-06,0.9706598911434412,-0.00034111497,20.67,2693.78
609024,1.2510426,4758,5816.599068403244,959,0.15478516,0.0016036165,4872192,1.9422912e-06,0.9594601765275002,-0.00031700302,20.67,2693.77
