fps,serial_timesteps,explained_variance,value_loss,approxkl,policy_loss,policy_entropy,time_elapsed,clipfrac,total_timesteps,n_updates,ep_len_mean,ep_reward_mean
935,120320,0.5237899422645569,0.035530064,0.0019463262,-0.0028196601,1.298965,1112.5036137104034,0.13891602,962560,940,2426.94,-9.47
984,120448,0.6861265301704407,0.028682956,0.0015726421,-0.0047983676,1.3032857,1113.601096868515,0.12158203,963584,941,2426.94,-9.47
1036,120576,0.631687730550766,0.028389607,0.0020003247,-0.005673493,1.2812663,1114.6433320045471,0.15917969,964608,942,2426.94,-9.47
1009,120704,0.5384191870689392,0.031463787,0.0024677648,-0.0073654773,1.2572906,1115.6332640647888,0.18481445,965632,943,2423.74,-9.49
991,120832,0.7315956354141235,0.022602672,0.0017502337,-0.004654257,1.2974008,1116.6486213207245,0.14282227,966656,944,2423.74,-9.49
985,120960,0.6835725605487823,0.032874543,0.0013335304,-0.0052513173,1.2660507,1117.6828126907349,0.099609375,967680,945,2430.06,-9.42
1119,121088,0.57622429728508,0.03874525,0.0018467973,-0.005584212,1.2525381,1118.7240121364594,0.1472168,968704,946,2430.06,-9.42
969,121216,0.7385362982749939,0.023064746,0.001677607,-0.005605231,1.2602612,1119.6405622959137,0.14501953,969728,947,2438.46,-9.33
1009,121344,0.6516652405261993,0.028125972,0.002029238,-0.0034762076,1.1968418,1120.6992354393005,0.15551758,970752,948,2438.46,-9.33
1073,121472,0.3739815354347229,0.0271557,0.0017808287,-0.006277548,1.2459468,1121.7150385379791,0.15527344,971776,949,2435.95,-9.34
895,121600,0.6731162071228027,0.031017326,0.0015020035,-0.004839735,1.2076983,1122.6715903282166,0.119628906,972800,950,2437.57,-9.32
954,121728,0.6994284093379974,0.026094316,0.0021286756,-0.006172723,1.208303,1123.8169870376587,0.12963867,973824,951,2437.57,-9.32
932,121856,0.43401288986206055,0.036636572,0.0012587609,-0.005442329,1.2297441,1124.8911290168762,0.09277344,974848,952,2437.57,-9.32
939,121984,0.530539482831955,0.031972297,0.0014499782,-0.0053601963,1.1800784,1125.991919517517,0.12573242,975872,953,2444.9,-9.26
965,122112,0.7054798901081085,0.022765795,0.0016444161,-0.005986596,1.1991925,1127.0843453407288,0.12207031,976896,954,2444.9,-9.26
1036,122240,0.6896806061267853,0.030942652,0.0019983267,-0.0065063713,1.1564149,1128.1466598510742,0.16113281,977920,955,2444.9,-9.26
1207,122368,0.6936105191707611,0.02756053,0.0016269342,-0.0047219326,1.1827993,1129.1361515522003,0.12939453,978944,956,2444.9,-9.26
1148,122496,0.6475624442100525,0.0317846,0.002231756,-0.0049027596,1.1658576,1129.9858407974243,0.16381836,979968,957,2444.9,-9.26
972,122624,0.6396464407444,0.03042808,0.001810418,-0.005810297,1.215215,1130.8786282539368,0.16772461,980992,958,2444.9,-9.26
919,122752,0.5504683554172516,0.03849252,0.0019874775,-0.0061643696,1.199167,1131.9332220554352,0.17089844,982016,959,2444.9,-9.26
949,122880,0.6598498523235321,0.027457688,0.0022733351,-0.0045048106,1.1971029,1133.0492362976074,0.18457031,983040,960,2444.9,-9.26
922,123008,0.5224974155426025,0.042391084,0.0013400301,-0.0044327606,1.1463357,1134.1309087276459,0.09838867,984064,961,2444.9,-9.26
1016,123136,0.5941424667835236,0.030106446,0.002376202,-0.004582495,1.2173872,1135.2433042526245,0.18017578,985088,962,2444.9,-9.26
914,123264,0.6903857588768005,0.030809857,0.0021542928,-0.0047050235,1.2065258,1136.2530326843262,0.16503906,986112,963,2447.06,-9.28
