fps,serial_timesteps,n_updates,value_loss,policy_loss,explained_variance,policy_entropy,clipfrac,total_timesteps,time_elapsed,approxkl,ep_len_mean,ep_reward_mean
1055,170752,1334,0.025149627,-0.0046981643,0.7585861086845398,1.3581364,0.14282227,1366016,1492.386825799942,0.0017419176,2569.95,2.58
1106,170880,1335,0.036280587,-0.0045219287,0.6437727212905884,1.3135273,0.20288086,1367040,1493.3587310314178,0.0024997038,2569.95,2.58
1143,171008,1336,0.03051068,-0.00484326,0.654142439365387,1.3677605,0.1105957,1368064,1494.2852618694305,0.0012780762,2569.95,2.58
1120,171136,1337,0.030223215,-0.0054393946,0.7250214517116547,1.3640798,0.17041016,1369088,1495.1821792125702,0.0019224556,2569.95,2.58
1068,171264,1338,0.025607157,-0.0055798134,0.7687135636806488,1.3651885,0.16210938,1370112,1496.098056793213,0.0016408956,2569.95,2.58
1078,171392,1339,0.028312448,-0.0059586554,0.7559971958398819,1.3572677,0.17382812,1371136,1497.0587630271912,0.0016039421,2569.95,2.58
1172,171520,1340,0.025746554,-0.0057662325,0.6352055966854095,1.3790984,0.14233398,1372160,1498.0095572471619,0.0014879124,2569.95,2.58
1105,171648,1341,0.03136427,-0.0058078826,0.7659913301467896,1.3923632,0.119384766,1373184,1498.8841087818146,0.0013961117,2569.95,2.58
930,171776,1342,0.019504933,-0.0065546897,0.8523281663656235,1.3819904,0.17700195,1374208,1499.8128821849823,0.0019287824,2574.89,3.11
1109,171904,1343,0.034232236,-0.006008828,0.6788902580738068,1.3928839,0.107666016,1375232,1500.916199207306,0.0010926395,2574.89,3.11
1063,172032,1344,0.026539149,-0.0047387625,0.769536629319191,1.3587652,0.13989258,1376256,1501.8408250808716,0.0013755946,2568.79,3.23
1135,172160,1345,0.024737705,-0.0056941626,0.7791807055473328,1.3829877,0.12207031,1377280,1502.805551290512,0.001254682,2568.79,3.23
1139,172288,1346,0.03285926,-0.0047415397,0.6682237386703491,1.3720493,0.18530273,1378304,1503.7084152698517,0.001961611,2568.79,3.23
930,172416,1347,0.027249206,-0.0071830973,0.6760692894458771,1.3826789,0.13916016,1379328,1504.6082391738892,0.001584084,2568.79,3.23
1111,172544,1348,0.021129627,-0.0054301177,0.796724259853363,1.4002975,0.15136719,1380352,1505.7108991146088,0.0014886071,2568.79,3.23
1148,172672,1349,0.02803664,-0.0066193375,0.6987787187099457,1.3624989,0.15649414,1381376,1506.6345269680023,0.0015362279,2577.15,3.42
1145,172800,1350,0.030034894,-0.007129687,0.7328749895095825,1.3985249,0.14355469,1382400,1507.5277032852173,0.0013118944,2577.15,3.42
1195,172928,1351,0.030002823,-0.007470756,0.6870364248752594,1.3625141,0.1743164,1383424,1508.4229216575623,0.0016105362,2577.15,3.42
1033,173056,1352,0.024619851,-0.005066156,0.7474794387817383,1.3778524,0.140625,1384448,1509.280654668808,0.001573768,2576.88,3.4
1002,173184,1353,0.019490177,-0.0029155733,0.7615584284067154,1.36996,0.1965332,1385472,1510.2734291553497,0.002120775,2581.29,3.58
1057,173312,1354,0.032373708,-0.0035252348,0.7160999774932861,1.3540821,0.17773438,1386496,1511.2972190380096,0.0018249337,2581.29,3.58
1098,173440,1355,0.015902169,-0.0044458406,0.7927787750959396,1.3960167,0.15234375,1387520,1512.2681396007538,0.0015133892,2581.29,3.58
1066,173568,1356,0.025339197,-0.005990604,0.667506992816925,1.3884119,0.15234375,1388544,1513.202966928482,0.0014467479,2581.29,3.58
1049,173696,1357,0.023965808,-0.0052187503,0.7604121714830399,1.3980545,0.1081543,1389568,1514.16464304924,0.0012428407,2581.62,3.63
996,173824,1358,0.022490062,-0.0058350093,0.7600864320993423,1.3780298,0.11352539,1390592,1515.1423761844635,0.0014124813,2581.62,3.63
1097,173952,1359,0.038970992,-0.005994213,0.48113125562667847,1.4080896,0.13793945,1391616,1516.1709432601929,0.001567655,2581.62,3.63
895,174080,1360,0.019376483,-0.00646076,0.754861444234848,1.3951983,0.1574707,1392640,1517.1057093143463,0.0015893009,2581.62,3.63
943,174208,1361,0.02034895,-0.0076823677,0.8205834031105042,1.3887752,0.17382812,1393664,1518.2505474090576,0.0015949751,2584.56,4.11
1048,174336,1362,0.022746183,-0.005291638,0.7567258477210999,1.4069616,0.111328125,1394688,1519.3388702869415,0.0010973673,2584.56,4.11
1071,174464,1363,0.022404665,-0.0060301395,0.8101439028978348,1.3753594,0.22192383,1395712,1520.3183386325836,0.002213004,2584.56,4.11
1075,174592,1364,0.01983049,-0.0046281815,0.8052957653999329,1.4097637,0.14916992,1396736,1521.2762687206268,0.0016157578,2584.8,4.17
1109,174720,1365,0.02561471,-0.0043832287,0.7471696138381958,1.3910251,0.19433594,1397760,1522.231043100357,0.0018785922,2582.12,4.42
1094,174848,1366,0.021927867,-0.0068619065,0.8208522945642471,1.4082443,0.16918945,1398784,1523.1563291549683,0.0016025221,2589.61,4.47
949,174976,1367,0.019886121,-0.0065321894,0.7952667772769928,1.3730974,0.14697266,1399808,1524.0947234630585,0.0015790011,2589.61,4.47
941,175104,1368,0.024682939,-0.0054943077,0.6821111440658569,1.3715444,0.17651367,1400832,1525.174963235855,0.0017033406,2570.62,4.8
956,175232,1369,0.015569378,-0.0043504243,0.8101291656494141,1.3759305,0.16601562,1401856,1526.265769958496,0.0018163753,2570.62,4.8
963,175360,1370,0.015290647,-0.006361042,0.7995925396680832,1.3576978,0.19335938,1402880,1527.3380062580109,0.0016918574,2570.62,4.8
1198,175488,1371,0.013315037,-0.0066515547,0.7805618047714233,1.3990674,0.25634766,1403904,1528.4020509719849,0.0023304624,2570.62,4.8
1141,175616,1372,0.026715342,-0.0047215056,0.586297869682312,1.368483,0.16186523,1404928,1529.2583644390106,0.0018369128,2570.62,4.8
1082,175744,1373,0.026203377,-0.0067813126,0.7218404710292816,1.3463283,0.17114258,1405952,1530.1577932834625,0.001691445,2570.62,4.8
990,175872,1374,0.026799101,-0.005103886,0.7101296484470367,1.369305,0.13354492,1406976,1531.1061339378357,0.0014002385,2563.01,5.01
1147,176000,1375,0.026549414,-0.0027646967,0.7642635852098465,1.366002,0.27783203,1408000,1532.141494512558,0.004363372,2563.01,5.01
990,176128,1376,0.02183117,-0.0065672486,0.7598812580108643,1.3526677,0.19189453,1409024,1533.03622341156,0.0018194312,2551.79,5.2
1079,176256,1377,0.019951012,-0.0067561,0.8015739619731903,1.3810275,0.1303711,1410048,1534.0724818706512,0.00137949,2551.79,5.2
1090,176384,1378,0.02758266,-0.0055487687,0.6496200263500214,1.3676895,0.15307617,1411072,1535.022340297699,0.0015563145,2547.63,5.39
1117,176512,1379,0.028678818,-0.0075531965,0.7059370875358582,1.3782425,0.12939453,1412096,1535.9631671905518,0.0012137652,2547.63,5.39
1077,176640,1380,0.01451289,-0.0060228524,0.8039490431547165,1.3894274,0.12963867,1413120,1536.8814496994019,0.0012708814,2535.83,5.63
1094,176768,1381,0.014451356,-0.0051623154,0.7834807932376862,1.3943894,0.20043945,1414144,1537.8336563110352,0.0018227804,2535.83,5.63
1046,176896,1382,0.02063047,-0.005501572,0.7577178627252579,1.382938,0.16772461,1415168,1538.7712094783783,0.0018054321,2525.94,5.76
1023,177024,1383,0.025670677,-0.0048838574,0.7358102202415466,1.4031551,0.17236328,1416192,1539.7515506744385,0.0016975825,2525.94,5.76
879,177152,1384,0.015747644,-0.0061245547,0.8171310424804688,1.385344,0.15332031,1417216,1540.7531259059906,0.0015220528,2519.85,6.01
1091,177280,1385,0.022050655,-0.006775312,0.7929258197546005,1.3797121,0.13891602,1418240,1541.9189810752869,0.001405576,2514.16,6.24
1098,177408,1386,0.02847604,-0.0045993794,0.7173571288585663,1.4029169,0.16137695,1419264,1542.8589034080505,0.001686562,2509.95,6.41
1122,177536,1387,0.029542245,-0.004382699,0.7061620354652405,1.3553301,0.16015625,1420288,1543.7930006980896,0.0015211285,2509.95,6.41
1105,177664,1388,0.026124574,-0.005885792,0.7581218034029007,1.4104635,0.14160156,1421312,1544.7073678970337,0.001379279,2509.95,6.41
1131,177792,1389,0.028606368,-0.0064888084,0.7924275994300842,1.3677262,0.15039062,1422336,1545.6356377601624,0.0016331325,2509.95,6.41
1146,177920,1390,0.025348825,-0.0034922622,0.6879763305187225,1.3800584,0.17944336,1423360,1546.5426712036133,0.0018426316,2509.95,6.41
1088,178048,1391,0.030245107,-0.0037379912,0.6992973685264587,1.4152128,0.13208008,1424384,1547.437852859497,0.0013414035,2509.95,6.41
1034,178176,1392,0.023894403,-0.005781862,0.7162143886089325,1.397633,0.19946289,1425408,1548.3795552253723,0.0018069793,2509.95,6.41
962,178304,1393,0.024370516,-0.0050205616,0.7644708901643753,1.4251984,0.1340332,1426432,1549.3704245090485,0.0012831293,2499.66,6.51
1006,178432,1394,0.03347367,-0.008204466,0.6615266799926758,1.4127316,0.19384766,1427456,1550.4365947246552,0.0018250777,2499.66,6.51
1120,178560,1395,0.032056432,-0.0045131273,0.752107247710228,1.383642,0.12426758,1428480,1551.4563570022583,0.0013747306,2496.14,6.6
1116,178688,1396,0.024374042,-0.005540926,0.7620498538017273,1.4267347,0.15356445,1429504,1552.3725509643555,0.0015812839,2494.48,6.83
1147,178816,1397,0.026753942,-0.005922016,0.7365549504756927,1.3779424,0.14135742,1430528,1553.2910871505737,0.0015050537,2486.62,7.05
