policy_entropy,nupdates,total_timesteps,explained_variance,value_loss,fps,ep_reward_mean,ep_len_mean
1.7679264545440674,18100,1448000,0.9527924433350563,0.015052461996674538,1188,-20.28,919.95
1.769558310508728,18200,1456000,0.9589769467711449,0.007221712730824947,1189,-20.25,923.57
1.7761415243148804,18300,1464000,0.8872118070721626,0.025174865499138832,1189,-20.32,925.04
1.7838592529296875,18400,1472000,0.7344216108322144,0.03771788626909256,1189,-20.38,917.33
1.776085615158081,18500,1480000,0.9270567670464516,0.012019793502986431,1189,-20.4,924.2
1.7725404500961304,18600,1488000,0.9700720179826021,0.012728358618915081,1190,-20.3,938.31
1.7734438180923462,18700,1496000,0.9007628634572029,0.025836220011115074,1190,-20.33,935.95
1.781724214553833,18800,1504000,0.8917300850152969,0.015347020700573921,1175,-20.3,938.77
1.7850335836410522,18900,1512000,0.8476024717092514,0.024048365652561188,1176,-20.24,939.1
1.7787837982177734,19000,1520000,0.9351988807320595,0.008305495604872704,1176,-20.24,943.73
1.7859550714492798,19100,1528000,0.6326325535774231,0.04494640231132507,1177,-20.21,944.94
1.7873026132583618,19200,1536000,0.9485098123550415,0.014807527884840965,1178,-20.18,950.92
1.7844635248184204,19300,1544000,0.965452753007412,0.007855802774429321,1178,-20.16,950.93
1.7841331958770752,19400,1552000,0.8752065151929855,0.01863914355635643,1179,-20.1,954.51
1.7812093496322632,19500,1560000,0.9748290125280619,0.005729291588068008,1179,-20.1,950.78
1.783626914024353,19600,1568000,0.9064390584826469,0.014137035235762596,1180,-20.1,952.73
1.782794713973999,19700,1576000,0.9307327046990395,0.025128956884145737,1180,-20.1,951.21
1.785946249961853,19800,1584000,0.9720369055867195,0.009815077297389507,1181,-20.1,949.2
1.786080002784729,19900,1592000,0.987653081305325,0.0033294917084276676,1181,-20.07,956.71
1.7878917455673218,20000,1600000,0.9353592842817307,0.00951198861002922,1182,-20.07,958.14
1.7860885858535767,20100,1608000,0.9608609192073345,0.013402651064097881,1182,-20.09,957.96
1.7867488861083984,20200,1616000,0.9610157310962677,0.013798470608890057,1183,-20.11,953.54
1.7875038385391235,20300,1624000,0.8062451928853989,0.027219122275710106,1183,-20.16,952.6
1.7854353189468384,20400,1632000,0.941759753972292,0.01049504242837429,1184,-20.14,949.42
1.7862260341644287,20500,1640000,0.6716161668300629,0.03886440023779869,1184,-20.17,945.56
1.7820974588394165,20600,1648000,0.9743289165198803,0.010374975390732288,1185,-20.19,946.47
1.777551293373108,20700,1656000,0.8785592764616013,0.017289068549871445,1185,-20.11,952.18
1.7816343307495117,20800,1664000,0.9063636660575867,0.017277251929044724,1185,-20.15,946.87
1.78688645362854,20900,1672000,0.839480072259903,0.025457611307501793,1186,-20.15,947.39
1.7829644680023193,21000,1680000,0.9252130091190338,0.03218160197138786,1186,-20.16,945.12
1.7870101928710938,21100,1688000,0.8445929735898972,0.027362391352653503,1187,-20.11,943.63
1.7840532064437866,21200,1696000,0.8819781541824341,0.017136935144662857,1188,-20.14,947.07
1.788858413696289,21300,1704000,0.8820369839668274,0.01451526116579771,1188,-20.11,949.66
1.7837663888931274,21400,1712000,0.925383947789669,0.0193899255245924,1189,-20.13,943.14
1.7761341333389282,21500,1720000,0.9675995856523514,0.00563844433054328,1189,-20.12,944.77
1.7853946685791016,21600,1728000,0.9432494975626469,0.016760874539613724,1189,-20.13,942.07
1.7864917516708374,21700,1736000,0.8410752564668655,0.021240750327706337,1190,-20.16,942.51
1.786802053451538,21800,1744000,0.9427046217024326,0.013913613744080067,1191,-20.16,944.55
1.7838993072509766,21900,1752000,0.6529419124126434,0.036754049360752106,1177,-20.13,951.75
1.7846324443817139,22000,1760000,0.8970191180706024,0.01352092158049345,1177,-20.1,956.87
1.7846755981445312,22100,1768000,0.9284069165587425,0.01457697432488203,1178,-20.17,952.95
1.7853590250015259,22200,1776000,0.948045190423727,0.01322510652244091,1178,-20.18,951.65
1.7878402471542358,22300,1784000,0.8840653896331787,0.015650276094675064,1179,-20.18,955.29
1.7855417728424072,22400,1792000,0.9533091224730015,0.009445590898394585,1179,-20.2,952.3
1.7838733196258545,22500,1800000,0.8729661256074905,0.02514556050300598,1180,-20.25,949.43
1.7889025211334229,22600,1808000,0.9109397754073143,0.026638593524694443,1180,-20.2,955.95
1.7887961864471436,22700,1816000,0.9605208374559879,0.013721461407840252,1180,-20.21,959.83
1.7844150066375732,22800,1824000,0.8964986056089401,0.018799517303705215,1181,-20.18,962.42
1.7831398248672485,22900,1832000,0.9080525264143944,0.014822153374552727,1181,-20.16,966.69
1.7864043712615967,23000,1840000,0.937256433069706,0.014975098893046379,1181,-20.17,964.9
1.7874568700790405,23100,1848000,0.9636282958090305,0.00987268891185522,1182,-20.24,952.91
1.7881196737289429,23200,1856000,0.9443057328462601,0.023106303066015244,1182,-20.16,960.05
1.788663625717163,23300,1864000,0.9169842377305031,0.01796252466738224,1183,-20.1,959.69
1.7884910106658936,23400,1872000,0.9678966552019119,0.00894215703010559,1183,-20.08,960.95
1.7865502834320068,23500,1880000,0.9268466606736183,0.025281211361289024,1184,-20.11,959.96
1.784193754196167,23600,1888000,0.9161658212542534,0.017884057015180588,1184,-20.06,965.33
1.7899665832519531,23700,1896000,0.9708729386329651,0.010552063584327698,1184,-20.02,963.89
1.784986138343811,23800,1904000,0.9367393553256989,0.012558050453662872,1185,-19.99,967.3
1.7846587896347046,23900,1912000,0.8985437303781509,0.019301485270261765,1185,-20.02,962.65
1.7882566452026367,24000,1920000,0.9377117417752743,0.01696842350065708,1186,-20.08,961.43
1.786279320716858,24100,1928000,0.9231850281357765,0.014955629594624043,1186,-20.1,960.4
1.7884200811386108,24200,1936000,0.9605389311909676,0.007428064942359924,1187,-20.1,956.7
